estate,total_pop,working_pop,median_income,ratio_age_65plus,ratio_age_0_14,n_roads,tot_length_km,bl_acc,typh_acc,dev_acc,n_worse_10,n_better_10,d_fire_m,t_fire_bl,t_fire_typh,d_t_fire,d_hosp_m,t_hosp_bl,t_hosp_typh,d_t_hosp,d_pol_m,lat,lon
安宁花园,6662.0,3429.0,30200.0,0.21149804863404384,0.08540978685079556,100.0,109.63260711529261,0.9732418054144371,0.9736633476746709,0.00042154226023373263,2.0,9.0,1602.7579014396388,1.976188724146062,1.9753331439669224,-0.00085558017913967,661.9649744047682,0.8161979529305764,0.8158445844580973,-0.00035336847247913195,836.1463887810994,22.3160743,114.2628277
安定邨,11285.0,5051.0,14310.0,0.27443509082853346,0.05378821444395215,68.0,70.88958949063023,0.9767799684640943,0.9836576260978049,0.006877657633710652,2.0,8.0,865.069177292479,1.0627603413932356,1.0553296037251059,-0.007430737668129739,2298.764731469301,2.8240932111872667,2.8043473710525397,-0.019745840134727022,1000.014815082292,22.3872107,113.9769265
安泰邨,24618.0,9889.0,19960.0,0.10309529612478674,0.19924445527662685,220.0,169.41114748109894,0.9409350386929068,0.9499100216098024,0.008974982916895457,9.0,42.0,774.9323616408801,0.9882922792001094,0.9789546512975329,-0.009337627902576529,545.9361994817383,0.6962472566524316,0.6896689417676163,-0.006578314884815306,752.8983314407546,22.3274357,114.2289936
安荫邨,15955.0,6794.0,21820.0,0.2549670949545597,0.09526794108429959,129.0,137.1858537838744,0.9611412344743522,0.972655870943601,0.011514636469248695,0.0,26.0,696.9059729022872,0.8700981057587335,0.85979758357027,-0.010300522188463446,2331.9646332466536,2.91149464774176,2.877027367532587,-0.034467280209173,731.1223868965469,22.370862,114.1421091
安达邨,23341.0,9821.0,16380.0,0.16121845679276808,0.15102180712051755,233.0,177.07258508521844,0.9362191951254639,0.9464998556877349,0.010280660562270979,8.0,43.0,1031.8318104278503,1.3225515765541294,1.308186329953252,-0.014365246600877457,897.3805196054091,1.1502184842324024,1.1377250794655829,-0.012493404766819483,1112.1217592841651,22.3210065,114.2358508
宏景花园,6615.0,3696.0,37230.0,0.15888133030990173,0.08677248677248678,228.0,130.55768925148232,0.9180552110176643,0.9284765462779297,0.010421335260265592,9.0,37.0,753.5782645733063,0.9850103856886315,0.9739545076427559,-0.0110558780458756,1219.5396277959535,1.5940735761773113,1.576181497768363,-0.017892078408948242,1125.0034814880796,22.3414651,114.2077651
宏福花园,3381.0,1968.0,60560.0,0.12067435669920142,0.08695652173913043,172.0,243.57839489386757,0.9772242698056253,0.9835179212381235,0.006293651432498461,0.0,23.0,414.971890976284,0.5095721469039944,0.5063113324306941,-0.0032608144733002886,2057.934047577526,2.5270768782525543,2.510905804323545,-0.016171073929009516,374.5301954060368,22.3545971,114.1079234
宏福苑,4643.0,1942.0,20490.0,0.3663579582166703,0.0908895110919664,77.0,74.32708286577444,0.9722988280327923,0.9788928254324499,0.006593997399657784,1.0,15.0,1210.2573037933134,1.4936856063997999,1.4836238726240365,-0.01006173377576336,1252.7148576033517,1.5460862296476225,1.5356715158882908,-0.010414713759331784,565.0504343171972,22.4471029,114.1754582
宝佩苑,4950.0,2508.0,31820.0,0.283030303030303,0.057777777777777775,234.0,191.31757496690454,0.9416016512066031,0.951208200147468,0.009606548940864998,7.0,40.0,631.1336533972519,0.8043320475343185,0.7962088467690743,-0.008123200765244198,610.6116971106694,0.7781783683087756,0.7703193017251175,-0.007859066583658092,575.2650091367929,22.3172713,114.228013
宝明苑,4063.0,2158.0,30550.0,0.18090081220772827,0.08983509721880384,133.0,119.84150414476727,0.958520663105161,0.9653894134778883,0.0068687503727274,0.0,12.0,1796.608220913698,2.2492262797050486,2.233223023784296,-0.01600325592075258,349.16073597886066,0.43712451833567234,0.43401437526145975,-0.00311014307421259,1258.15072240869,22.3117833,114.258064
